Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalPrice,YearMonth,ist_sonderposten
491176,M,MANUAL,1,2009-12-10 11:50:00,1213.02,13091,United Kingdom,1213.02,2009-12,True
C491423,M,MANUAL,-1,2009-12-10 19:45:00,2.2,16798,United Kingdom,-2.2,2009-12,True
C491428,D,DISCOUNT,-1,2009-12-10 20:23:00,9.1,15494,United Kingdom,-9.1,2009-12,True
C491623,POST,POSTAGE,-1,2009-12-11 14:20:00,15.0,16253,United Kingdom,-15.0,2009-12,True
491649,POST,POSTAGE,2,2009-12-13 10:28:00,40.0,12664,Finland,80.0,2009-12,True
491698,POST,POSTAGE,4,2009-12-13 13:31:00,18.0,12681,France,72.0,2009-12,True
491702,C2,CARRIAGE,1,2009-12-13 13:53:00,50.0,,EIRE,50.0,2009-12,True
491709,POST,POSTAGE,1,2009-12-13 14:51:00,18.0,12600,Germany,18.0,2009-12,True
491710,POST,POSTAGE,2,2009-12-13 15:01:00,18.0,12683,France,36.0,2009-12,True
491715,POST,POSTAGE,1,2009-12-13 15:43:00,18.0,14277,France,18.0,2009-12,True
491725,TEST001,THIS IS A TEST PRODUCT.,10,2009-12-14 08:34:00,4.5,12346,United Kingdom,45.0,2009-12,True
491738,POST,POSTAGE,5,2009-12-14 10:49:00,18.0,12472,Germany,90.0,2009-12,True
491742,TEST001,THIS IS A TEST PRODUCT.,5,2009-12-14 11:00:00,4.5,12346,United Kingdom,22.5,2009-12,True
491744,TEST001,THIS IS A TEST PRODUCT.,5,2009-12-14 11:02:00,4.5,12346,United Kingdom,22.5,2009-12,True
491784,POST,POSTAGE,7,2009-12-14 12:48:00,18.0,12471,Germany,126.0,2009-12,True
491805,POST,POSTAGE,7,2009-12-14 13:10:00,18.0,12613,Germany,126.0,2009-12,True
C491845,D,DISCOUNT,-1,2009-12-14 14:54:00,1.59,,United Kingdom,-1.59,2009-12,True
491958,POST,POSTAGE,1,2009-12-14 16:10:00,5.0,13577,United Kingdom,5.0,2009-12,True
C491962,D,DISCOUNT,-1,2009-12-14 16:38:00,0.59,13206,United Kingdom,-0.59,2009-12,True
491966,DOT,DOTCOM POSTAGE,1,2009-12-14 17:16:00,815.01,,United Kingdom,815.01,2009-12,True
491969,DCGS0058,MISO PRETTY  GUM,1,2009-12-14 17:57:00,0.83,,United Kingdom,0.83,2009-12,True
491969,DCGS0072,CAT CAMOUFLAGUE COLLAR,1,2009-12-14 17:57:00,5.17,,United Kingdom,5.17,2009-12,True
491969,DCGS0076,SUNJAR LED NIGHT NIGHT LIGHT,1,2009-12-14 17:57:00,16.48,,United Kingdom,16.48,2009-12,True
491969,DOT,DOTCOM POSTAGE,1,2009-12-14 17:57:00,882.72,,United Kingdom,882.72,2009-12,True
491969,gift_0001_80,DOTCOMGIFTSHOP GIFT VOUCHER £80.00,1,2009-12-14 17:57:00,69.56,,United Kingdom,69.56,2009-12,True
491970,DCGS0058,MISO PRETTY  GUM,1,2009-12-14 18:03:00,0.83,,United Kingdom,0.83,2009-12,True
491970,DOT,DOTCOM POSTAGE,1,2009-12-14 18:03:00,602.14,,United Kingdom,602.14,2009-12,True
491971,DCGS0058,MISO PRETTY  GUM,2,2009-12-14 18:37:00,0.83,,United Kingdom,1.66,2009-12,True
491971,DOT,DOTCOM POSTAGE,1,2009-12-14 18:37:00,632.06,,United Kingdom,632.06,2009-12,True
491971,gift_0001_20,DOTCOMGIFTSHOP GIFT VOUCHER £20.00,2,2009-12-14 18:37:00,17.39,,United Kingdom,34.78,2009-12,True
491988,POST,POSTAGE,4,2009-12-15 10:02:00,18.0,13902,Denmark,72.0,2009-12,True
C491989,POST,POSTAGE,-2,2009-12-15 10:04:00,18.0,13902,Denmark,-36.0,2009-12,True
C492013,POST,POSTAGE,-1,2009-12-15 11:55:00,5.0,13577,United Kingdom,-5.0,2009-12,True
492092,C2,CARRIAGE,1,2009-12-15 14:03:00,50.0,14156,EIRE,50.0,2009-12,True
C492205,M,MANUAL,-1,2009-12-15 16:28:00,398.05,,United Kingdom,-398.05,2009-12,True
C492206,BANK CHARGES,BANK CHARGES,-1,2009-12-15 16:32:00,848.43,,United Kingdom,-848.43,2009-12,True
C492207,M,MANUAL,-1,2009-12-15 16:34:00,906.26,,United Kingdom,-906.26,2009-12,True
492226,DCGS0044,HANDZ-OFF CAR FRESHENER,1,2009-12-15 18:33:00,2.57,,United Kingdom,2.57,2009-12,True
492226,DOT,DOTCOM POSTAGE,1,2009-12-15 18:33:00,500.13,,United Kingdom,500.13,2009-12,True
492248,POST,POSTAGE,6,2009-12-16 10:28:00,15.0,14646,Netherlands,90.0,2009-12,True
492250,C2,CARRIAGE,1,2009-12-16 10:45:00,50.0,18286,United Kingdom,50.0,2009-12,True
492303,DCGS0058,MISO PRETTY  GUM,1,2009-12-16 11:57:00,0.83,,United Kingdom,0.83,2009-12,True
492303,DCGS0072,CAT CAMOUFLAGUE COLLAR,2,2009-12-16 11:57:00,5.17,,United Kingdom,10.34,2009-12,True
492303,DOT,DOTCOM POSTAGE,1,2009-12-16 11:57:00,637.09,,United Kingdom,637.09,2009-12,True
492414,DOT,DOTCOM POSTAGE,1,2009-12-16 17:01:00,945.56,,United Kingdom,945.56,2009-12,True
492425,DCGS0058,MISO PRETTY  GUM,1,2009-12-16 17:58:00,0.83,,United Kingdom,0.83,2009-12,True
492425,DOT,DOTCOM POSTAGE,1,2009-12-16 17:58:00,753.98,,United Kingdom,753.98,2009-12,True
492446,POST,POSTAGE,3,2009-12-17 11:11:00,40.0,13520,Switzerland,120.0,2009-12,True
492484,M,MANUAL,4,2009-12-17 11:43:00,0.35,15862,United Kingdom,1.4,2009-12,True
492531,POST,POSTAGE,1,2009-12-17 12:54:00,3.95,,United Kingdom,3.95,2009-12,True
492586,M,MANUAL,1,2009-12-17 15:27:00,1.25,,United Kingdom,1.25,2009-12,True
492650,M,MANUAL,1,2009-12-17 17:43:00,803.25,14911,EIRE,803.25,2009-12,True
C492651,M,MANUAL,-1,2009-12-17 17:44:00,803.25,14911,EIRE,-803.25,2009-12,True
C492653,POST,POSTAGE,-1,2009-12-17 17:47:00,22.0,13834,United Kingdom,-22.0,2009-12,True
C492693,D,DISCOUNT,-1,2009-12-17 18:47:00,6.85,13408,United Kingdom,-6.85,2009-12,True
492716,POST,POSTAGE,1,2009-12-18 10:25:00,18.0,12708,Germany,18.0,2009-12,True
492718,TEST001,THIS IS A TEST PRODUCT.,5,2009-12-18 10:47:00,4.5,12346,United Kingdom,22.5,2009-12,True
492722,TEST002,THIS IS A TEST PRODUCT.,1,2009-12-18 10:55:00,1.0,12346,United Kingdom,1.0,2009-12,True
492746,C2,CARRIAGE,1,2009-12-18 13:01:00,50.0,,EIRE,50.0,2009-12,True
492782,DCGS0058,MISO PRETTY  GUM,1,2009-12-18 17:06:00,0.83,,United Kingdom,0.83,2009-12,True
492782,DOT,DOTCOM POSTAGE,1,2009-12-18 17:06:00,692.24,,United Kingdom,692.24,2009-12,True
492782,gift_0001_10,DOTCOMGIFTSHOP GIFT VOUCHER £10.00,1,2009-12-18 17:06:00,8.69,,United Kingdom,8.69,2009-12,True
492782,gift_0001_20,DOTCOMGIFTSHOP GIFT VOUCHER £20.00,1,2009-12-18 17:06:00,17.39,,United Kingdom,17.39,2009-12,True
492783,DCGS0058,MISO PRETTY  GUM,2,2009-12-18 17:15:00,0.83,,United Kingdom,1.66,2009-12,True
492783,DCGS0072,CAT CAMOUFLAGUE COLLAR,1,2009-12-18 17:15:00,5.17,,United Kingdom,5.17,2009-12,True
492783,DOT,DOTCOM POSTAGE,1,2009-12-18 17:15:00,604.12,,United Kingdom,604.12,2009-12,True
492783,gift_0001_50,DOTCOMGIFTSHOP GIFT VOUCHER £50.00,1,2009-12-18 17:15:00,43.48,,United Kingdom,43.48,2009-12,True
492816,POST,POSTAGE,2,2009-12-20 13:30:00,18.0,12609,Germany,36.0,2009-12,True
492830,POST,POSTAGE,5,2009-12-20 15:38:00,18.0,12683,France,90.0,2009-12,True
492831,M,MANUAL,1,2009-12-20 15:57:00,0.85,,United Kingdom,0.85,2009-12,True
C492899,M,MANUAL,-1,2009-12-21 12:05:00,547.3,12748,United Kingdom,-547.3,2009-12,True
492935,M,MANUAL,1,2009-12-21 12:18:00,74.1,13641,United Kingdom,74.1,2009-12,True
492944,POST,POSTAGE,1,2009-12-21 13:18:00,18.0,12682,France,18.0,2009-12,True
492948,M,MANUAL,1,2009-12-21 14:33:00,68.96,14606,United Kingdom,68.96,2009-12,True
492950,POST,POSTAGE,5,2009-12-21 14:52:00,18.0,12471,Germany,90.0,2009-12,True
493066,M,MANUAL,1,2009-12-21 17:14:00,0.85,,United Kingdom,0.85,2009-12,True
493073,DOT,DOTCOM POSTAGE,1,2009-12-22 09:41:00,440.9,,United Kingdom,440.9,2009-12,True
493074,DOT,DOTCOM POSTAGE,1,2009-12-22 09:45:00,287.02,,United Kingdom,287.02,2009-12,True
493079,DOT,DOTCOM POSTAGE,1,2009-12-22 09:52:00,467.05,,United Kingdom,467.05,2009-12,True
493183,POST,POSTAGE,2,2009-12-22 12:03:00,40.0,12440,Austria,80.0,2009-12,True
493260,DCGS0058,MISO PRETTY  GUM,2,2009-12-22 14:31:00,0.83,,United Kingdom,1.66,2009-12,True
493260,DOT,DOTCOM POSTAGE,1,2009-12-22 14:31:00,429.14,,United Kingdom,429.14,2009-12,True
493261,DOT,DOTCOM POSTAGE,1,2009-12-22 14:48:00,88.48,,United Kingdom,88.48,2009-12,True
493264,DOT,DOTCOM POSTAGE,1,2009-12-22 15:04:00,123.96,,United Kingdom,123.96,2009-12,True
493265,DCGS0066N,NAVY CUDDLES DOG HOODIE,1,2009-12-22 15:05:00,8.65,,United Kingdom,8.65,2009-12,True
493265,M,MANUAL,2,2009-12-22 15:05:00,4.0,,United Kingdom,8.0,2009-12,True
493265,DOT,DOTCOM POSTAGE,1,2009-12-22 15:05:00,167.52,,United Kingdom,167.52,2009-12,True
493267,M,MANUAL,1,2009-12-22 15:06:00,4.0,,United Kingdom,4.0,2009-12,True
493267,DOT,DOTCOM POSTAGE,1,2009-12-22 15:06:00,122.3,,United Kingdom,122.3,2009-12,True
493269,DCGS0066N,NAVY CUDDLES DOG HOODIE,1,2009-12-22 15:07:00,8.65,,United Kingdom,8.65,2009-12,True
493269,DOT,DOTCOM POSTAGE,1,2009-12-22 15:07:00,114.26,,United Kingdom,114.26,2009-12,True
493271,DOT,DOTCOM POSTAGE,1,2009-12-22 15:08:00,102.52,,United Kingdom,102.52,2009-12,True
493273,DOT,DOTCOM POSTAGE,1,2009-12-22 15:09:00,155.35,,United Kingdom,155.35,2009-12,True
493276,DOT,DOTCOM POSTAGE,1,2009-12-22 15:10:00,110.22,,United Kingdom,110.22,2009-12,True
493283,M,MANUAL,2,2009-12-22 15:12:00,4.0,,United Kingdom,8.0,2009-12,True
493283,DOT,DOTCOM POSTAGE,1,2009-12-22 15:12:00,136.52,,United Kingdom,136.52,2009-12,True
493290,DOT,DOTCOM POSTAGE,1,2009-12-22 15:13:00,3.43,,United Kingdom,3.43,2009-12,True
493287,M,MANUAL,1,2009-12-22 15:13:00,4.0,,United Kingdom,4.0,2009-12,True
493287,DOT,DOTCOM POSTAGE,1,2009-12-22 15:13:00,100.7,,United Kingdom,100.7,2009-12,True
493288,DOT,DOTCOM POSTAGE,1,2009-12-22 15:13:00,34.13,,United Kingdom,34.13,2009-12,True
493308,C2,CARRIAGE,1,2009-12-22 16:17:00,50.0,15064,United Kingdom,50.0,2009-12,True
C493373,D,DISCOUNT,-1,2009-12-23 11:22:00,64.37,15044,United Kingdom,-64.37,2009-12,True
493404,DOT,DOTCOM POSTAGE,1,2009-12-23 15:30:00,184.68,,United Kingdom,184.68,2009-12,True
493404,gift_0001_30,DOTCOMGIFTSHOP GIFT VOUCHER £30.00,1,2009-12-23 15:30:00,26.08,,United Kingdom,26.08,2009-12,True
493404,gift_0001_20,DOTCOMGIFTSHOP GIFT VOUCHER £20.00,1,2009-12-23 15:30:00,17.39,,United Kingdom,17.39,2009-12,True
493410,TEST001,THIS IS A TEST PRODUCT.,5,2010-01-04 09:24:00,4.5,12346,United Kingdom,22.5,2010-01,True
493412,TEST001,THIS IS A TEST PRODUCT.,5,2010-01-04 09:53:00,4.5,12346,United Kingdom,22.5,2010-01,True
C493538,POST,POSTAGE,-1,2010-01-04 15:35:00,50.0,17949,United Kingdom,-50.0,2010-01,True
493759,M,MANUAL,3,2010-01-06 13:56:00,1.25,17965,United Kingdom,3.75,2010-01,True
493806,POST,POSTAGE,1,2010-01-07 11:31:00,18.0,17404,Sweden,18.0,2010-01,True
C493853,POST,POSTAGE,-1,2010-01-07 15:54:00,7.06,16325,United Kingdom,-7.06,2010-01,True
493876,POST,POSTAGE,1,2010-01-07 18:38:00,1.0,12648,Germany,1.0,2010-01,True
493897,M,MANUAL,1,2010-01-08 10:39:00,780.52,14911,EIRE,780.52,2010-01,True
C493898,M,MANUAL,-1,2010-01-08 10:40:00,780.52,14911,EIRE,-780.52,2010-01,True
493899,POST,POSTAGE,3,2010-01-08 10:43:00,15.0,12417,Belgium,45.0,2010-01,True
493900,M,MANUAL,1,2010-01-08 10:44:00,780.52,14911,EIRE,780.52,2010-01,True
493924,POST,POSTAGE,1,2010-01-08 11:25:00,180.0,12678,France,180.0,2010-01,True
493950,POST,POSTAGE,4,2010-01-08 13:19:00,18.0,12681,France,72.0,2010-01,True
493964,POST,POSTAGE,10,2010-01-08 16:29:00,18.0,12714,France,180.0,2010-01,True
493975,POST,POSTAGE,4,2010-01-10 11:27:00,28.0,12540,Spain,112.0,2010-01,True
494009,POST,POSTAGE,2,2010-01-11 08:51:00,18.0,12471,Germany,36.0,2010-01,True
494011,DOT,DOTCOM POSTAGE,1,2010-01-11 09:30:00,217.09,,United Kingdom,217.09,2010-01,True
494012,DOT,DOTCOM POSTAGE,1,2010-01-11 09:31:00,161.99,,United Kingdom,161.99,2010-01,True
494013,DOT,DOTCOM POSTAGE,1,2010-01-11 09:32:00,44.56,,United Kingdom,44.56,2010-01,True
494014,DOT,DOTCOM POSTAGE,1,2010-01-11 09:33:00,157.88,,United Kingdom,157.88,2010-01,True
494015,DOT,DOTCOM POSTAGE,1,2010-01-11 09:34:00,166.51,,United Kingdom,166.51,2010-01,True
494016,DOT,DOTCOM POSTAGE,1,2010-01-11 09:35:00,371.77,,United Kingdom,371.77,2010-01,True
494017,DOT,DOTCOM POSTAGE,1,2010-01-11 09:37:00,311.56,,United Kingdom,311.56,2010-01,True
494018,DOT,DOTCOM POSTAGE,1,2010-01-11 09:37:00,242.3,,United Kingdom,242.3,2010-01,True
494019,DOT,DOTCOM POSTAGE,1,2010-01-11 09:38:00,148.36,,United Kingdom,148.36,2010-01,True
C494024,M,MANUAL,-1,2010-01-11 10:09:00,17.6,12959,United Kingdom,-17.6,2010-01,True
494042,M,MANUAL,1,2010-01-11 11:57:00,975.11,12510,Spain,975.11,2010-01,True
494045,M,MANUAL,1,2010-01-11 12:01:00,435.88,12510,Spain,435.88,2010-01,True
494144,DOT,DOTCOM POSTAGE,1,2010-01-11 14:35:00,239.2,,United Kingdom,239.2,2010-01,True
494146,POST,POSTAGE,2,2010-01-11 14:37:00,15.0,14646,Netherlands,30.0,2010-01,True
494147,DCGS0058,MISO PRETTY  GUM,1,2010-01-11 14:39:00,0.81,,United Kingdom,0.81,2010-01,True
494147,DOT,DOTCOM POSTAGE,1,2010-01-11 14:39:00,225.76,,United Kingdom,225.76,2010-01,True
494166,DOT,DOTCOM POSTAGE,1,2010-01-12 09:48:00,291.71,,United Kingdom,291.71,2010-01,True
494170,POST,POSTAGE,6,2010-01-12 10:36:00,18.0,12600,Germany,108.0,2010-01,True
494213,M,MANUAL,1,2010-01-12 11:40:00,0.85,17945,United Kingdom,0.85,2010-01,True
494214,POST,POSTAGE,10,2010-01-12 11:45:00,18.0,12623,Germany,180.0,2010-01,True
C494215,POST,POSTAGE,-4,2010-01-12 11:56:00,18.0,12623,Germany,-72.0,2010-01,True
494234,POST,POSTAGE,1,2010-01-12 15:01:00,5.0,12549,USA,5.0,2010-01,True
494268,POST,POSTAGE,2,2010-01-12 17:24:00,18.0,12649,Germany,36.0,2010-01,True
494280,POST,POSTAGE,4,2010-01-13 10:43:00,18.0,12682,France,72.0,2010-01,True
C494347,M,MANUAL,-1,2010-01-13 14:20:00,751.11,12510,Spain,-751.11,2010-01,True
494348,M,MANUAL,1,2010-01-13 14:25:00,546.95,14156,EIRE,546.95,2010-01,True
494351,M,MANUAL,1,2010-01-13 14:48:00,354.45,14277,France,354.45,2010-01,True
C494353,M,MANUAL,-1,2010-01-13 14:50:00,323.88,12510,Spain,-323.88,2010-01,True
C494352,M,MANUAL,-1,2010-01-13 14:50:00,546.95,14156,EIRE,-546.95,2010-01,True
C494355,POST,POSTAGE,-1,2010-01-13 15:04:00,174.75,12510,Spain,-174.75,2010-01,True
C494356,M,MANUAL,-1,2010-01-13 15:06:00,780.52,14911,EIRE,-780.52,2010-01,True
494357,POST,POSTAGE,13,2010-01-13 15:06:00,18.0,12647,Germany,234.0,2010-01,True
C494360,POST,POSTAGE,-1,2010-01-13 15:32:00,161.25,12510,Spain,-161.25,2010-01,True
C494368,POST,POSTAGE,-1,2010-01-13 16:11:00,4.41,15152,United Kingdom,-4.41,2010-01,True
494378,DOT,DOTCOM POSTAGE,1,2010-01-13 17:03:00,407.75,,United Kingdom,407.75,2010-01,True
494379,DOT,DOTCOM POSTAGE,1,2010-01-13 17:08:00,262.47,,United Kingdom,262.47,2010-01,True
494381,DOT,DOTCOM POSTAGE,1,2010-01-13 17:44:00,378.8,,United Kingdom,378.8,2010-01,True
494381,gift_0001_30,DOTCOMGIFTSHOP GIFT VOUCHER £30.00,1,2010-01-13 17:44:00,25.53,,United Kingdom,25.53,2010-01,True
494382,DOT,DOTCOM POSTAGE,1,2010-01-13 17:51:00,256.05,,United Kingdom,256.05,2010-01,True
494386,DOT,DOTCOM POSTAGE,1,2010-01-14 09:41:00,441.1,,United Kingdom,441.1,2010-01,True
494387,DOT,DOTCOM POSTAGE,1,2010-01-14 09:46:00,252.48,,United Kingdom,252.48,2010-01,True
